DataSet,100.0:0.15:12.0:0.35
AutoMpg,0.22
AutoPrice,0.00024
BodyFat,0.42202
Cpu,0.03682
Housing,0.19169
Sensory,0.54855
Servo,0.47084
Veteran,0.00358
