DataSet,100.0:0.3:4.0:0.5,100.0:0.5:8.0:0.95,100.0:0.7:16.0:0.2,100.0:0.95:16.0:0.7,150.0:0.15:20.0:0.7,150.0:0.3:8.0:0.35,150.0:0.5:12.0:0.5,150.0:0.7:4.0:0.35,150.0:0.95:16.0:0.95,200.0:0.15:8.0:0.2,200.0:0.3:12.0:0.2,200.0:0.5:16.0:0.35,200.0:0.7:20.0:0.5,200.0:0.95:4.0:0.7,250.0:0.15:4.0:0.95,250.0:0.3:16.0:0.7,250.0:0.5:20.0:0.2,250.0:0.7:12.0:0.7,250.0:0.95:8.0:0.5,300.0:0.15:16.0:0.5,300.0:0.3:20.0:0.95,300.0:0.5:4.0:0.2,300.0:0.7:8.0:0.7,300.0:0.95:12.0:0.35,100.0:0.95:20.0:0.35,150.0:0.95:16.0:0.2,250.0:0.95:12.0:0.35,200.0:0.7:12.0:0.95,100.0:0.5:8.0:0.7
Banknote,0.99978,0.99956,1,1,0.99985,0.99985,0.99993,0.99963,0.99985,0.99985,1,0.9997,0.99963,0.99963,0.99956,0.99993,0.99985,0.99993,0.99956,0.999850.99985,0.99963,0.99926,0.9997,0.9997,0.99985,0.99993,1,0.99978,
Blood,0.74677,0.75175,0.7457,0.7457,0.75013,0.75013,0.74597,0.74879,0.75013,0.74866,0.74651,0.75148,0.74866,0.74933,0.7496,0.74892,0.74879,0.75013,0.74892,0.749870.74987,0.74946,0.74946,0.74946,0.74892,0.75013,0.75013,0.74664,0.75175,
Car,0.84253,0.84149,0.83385,0.83663,0.83918,0.83918,0.83872,0.84028,0.83918,0.83414,0.83929,0.8327,0.84167,0.84005,0.83432,0.84022,0.82963,0.83727,0.84022,0.840910.84091,0.83958,0.83958,0.83709,0.83837,0.83918,0.83727,0.83929,0.84149,
Cardiotocography,0.76167,0.7611,0.76162,0.76148,0.76171,0.76171,0.76071,0.76086,0.76171,0.76124,0.75805,0.75781,0.75933,0.75914,0.75952,0.75662,0.76005,0.75838,0.75662,0.760240.76024,0.75733,0.75733,0.75919,0.76405,0.76171,0.75838,0.7591,0.76138,
Chart,0.90567,0.90683,0.9055,0.90767,0.90633,0.90633,0.91083,0.915,0.90633,0.9025,0.90617,0.909,0.90717,0.90433,0.90183,0.90467,0.90767,0.90583,0.90467,0.907830.90783,0.89783,0.89633,0.905,0.91133,0.90633,0.90583,0.907,0.9065,
Dermatology,0.96612,0.96284,0.96448,0.96093,0.96421,0.96421,0.96885,0.96503,0.96421,0.96503,0.96393,0.96393,0.96257,0.96148,0.96066,0.96038,0.96667,0.96311,0.96038,0.96530.9653,0.96557,0.96557,0.95738,0.96311,0.96421,0.96311,0.96393,0.96257,
Fertility,0.64333,0.67556,0.65222,0.64444,0.66889,0.66889,0.68444,0.68111,0.67,0.64556,0.67333,0.63556,0.66778,0.66889,0.64333,0.65333,0.66778,0.62778,0.65333,0.666670.66667,0.64111,0.64556,0.65444,0.66,0.67,0.62778,0.66778,0.67444,
Haberman,0.72614,0.72451,0.7232,0.7232,0.72614,0.72614,0.7219,0.7183,0.72614,0.71667,0.71928,0.72516,0.71993,0.71667,0.72157,0.7219,0.71863,0.72484,0.7219,0.707520.70752,0.72549,0.72255,0.72124,0.72092,0.72614,0.72484,0.71928,0.72451,
Hayes,0.65606,0.66364,0.63864,0.64318,0.64848,0.64773,0.66288,0.66212,0.64848,0.65076,0.67348,0.65985,0.66212,0.66439,0.67273,0.69015,0.65455,0.66439,0.69015,0.670450.67045,0.65076,0.64697,0.65758,0.65833,0.64848,0.66439,0.67197,0.66439,
Hill,0.63828,0.64752,0.6401,0.6363,0.64241,0.64241,0.64076,0.63944,0.64241,0.64406,0.62838,0.63383,0.62508,0.62954,0.64208,0.63069,0.62772,0.62657,0.63069,0.63630.6363,0.63515,0.63515,0.62706,0.64076,0.64241,0.62657,0.63053,0.64769,
Ionosphere,0.851,0.84701,0.85128,0.851,0.83932,0.83932,0.84957,0.84758,0.83932,0.85527,0.849,0.84217,0.84387,0.84188,0.8453,0.84986,0.84701,0.84359,0.84986,0.842170.84217,0.84644,0.84615,0.84387,0.84615,0.83932,0.84359,0.84815,0.84929,
Letter,0.68592,0.68506,0.68319,0.68293,0.68182,0.68182,0.68291,0.6821,0.68182,0.68081,0.68153,0.68229,0.67937,0.67971,0.67902,0.68022,0.67986,0.68073,0.68022,0.681050.68105,0.67959,0.67959,0.68227,0.68334,0.68182,0.68073,0.6812,0.68529,
Libras,0.76967,0.779,0.76667,0.76333,0.76767,0.76767,0.76967,0.77033,0.76767,0.76133,0.77633,0.772,0.76533,0.77367,0.76633,0.766,0.76867,0.761,0.766,0.761670.76167,0.76333,0.76333,0.76467,0.76667,0.76767,0.761,0.77967,0.77967,
Optdigits,0.8767,0.87377,0.87642,0.87876,0.87455,0.87455,0.87603,0.87218,0.87455,0.87594,0.87468,0.87294,0.87368,0.87201,0.8749,0.87188,0.87416,0.8737,0.87188,0.873270.87327,0.87407,0.87373,0.87416,0.87796,0.87455,0.8737,0.87416,0.87433,
Pen,0.90574,0.90894,0.91022,0.90985,0.9052,0.9052,0.90673,0.90821,0.9052,0.90345,0.89983,0.9034,0.90155,0.90155,0.90484,0.90338,0.90628,0.90125,0.90338,0.902550.90255,0.90426,0.90426,0.90536,0.90794,0.9052,0.90125,0.89983,0.90894,
QSARBiodegradation,0.86076,0.85857,0.85705,0.85733,0.85952,0.85952,0.85533,0.86076,0.85952,0.8579,0.85152,0.85495,0.85752,0.85762,0.85733,0.85686,0.85648,0.85581,0.85686,0.858760.85876,0.85533,0.85533,0.85705,0.85838,0.85952,0.85581,0.85152,0.85638,
Shuttle,0.57875,0.546,0.5113,0.5113,0.481,0.48209,0.40876,0.53751,0.47954,0.49392,0.57805,0.51975,0.47737,0.45428,0.37934,0.47117,0.49906,0.57937,0.43258,0.46420.46934,0.48906,0.50719,0.50259,0.52418,0.481,0.54555,0.54579,0.49989,
SPECTF,0.35125,0.33833,0.34375,0.33458,0.38458,0.38458,0.35458,0.36958,0.38458,0.33375,0.33875,0.36542,0.32208,0.33875,0.33625,0.35417,0.38708,0.36625,0.35417,0.38750.3875,0.315,0.3175,0.35625,0.37875,0.38458,0.36625,0.34208,0.33542,
Wilt,0.96871,0.96791,0.96851,0.96851,0.96789,0.96789,0.96826,0.96725,0.96789,0.96689,0.96776,0.96756,0.96747,0.96747,0.96663,0.96749,0.96735,0.96731,0.96749,0.966850.96685,0.96737,0.96737,0.96669,0.96758,0.96789,0.96731,0.96776,0.96791,
Zoo,0.73871,0.68387,0.72688,0.68817,0.68925,0.68172,0.70323,0.72258,0.69785,0.66022,0.70215,0.72581,0.70753,0.69892,0.67204,0.64194,0.69785,0.73548,0.64194,0.678490.67849,0.76129,0.76129,0.7043,0.66774,0.68925,0.73548,0.70645,0.66129,
