DataSet,100.0:0.3:4.0:0.5,100.0:0.5:8.0:0.95,100.0:0.7:16.0:0.2,100.0:0.95:16.0:0.7,150.0:0.15:20.0:0.7,150.0:0.3:8.0:0.35,150.0:0.5:12.0:0.5,150.0:0.7:4.0:0.35,150.0:0.95:16.0:0.95,200.0:0.15:8.0:0.2,200.0:0.3:12.0:0.2,200.0:0.5:16.0:0.35,200.0:0.7:20.0:0.5,200.0:0.95:4.0:0.7,250.0:0.15:4.0:0.95,250.0:0.3:16.0:0.7,250.0:0.5:20.0:0.2,250.0:0.7:12.0:0.7,250.0:0.95:8.0:0.5,300.0:0.15:16.0:0.5,300.0:0.3:20.0:0.95,300.0:0.5:4.0:0.2,300.0:0.7:8.0:0.7,300.0:0.95:12.0:0.35,100.0:0.95:20.0:0.35,150.0:0.95:16.0:0.2,250.0:0.95:12.0:0.35,200.0:0.7:12.0:0.95,100.0:0.5:8.0:0.7
AutoMpg,0.22013,0.22104,0.21956,0.22188,0.2189,0.21879,0.2223,0.22280.22033,0.22311,0.22144,0.22466,0.22231,0.22327,0.22467,0.22265,0.22234,0.22206,0.22104,0.2237,0.2224,0.22123,0.22277,0.22023,0.22119,0.22019,0.22234,0.22253,0.22193,
AutoPrice,0.00027,0.00025,0.00025,0.00025,0.00025,0.00026,0.00024,0.000280.00026,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00024,0.00025,0.00026,0.00027,0.00026,0.00026,0.00025,0.00025,0.00024,0.00025,0.00024,0.00025,0.00025,
BodyFat,0.42611,0.41087,0.43741,0.43832,0.42172,0.42891,0.41707,0.409540.43486,0.41686,0.40479,0.41934,0.43149,0.40448,0.43539,0.42607,0.40325,0.41675,0.41125,0.40723,0.40426,0.4167,0.42014,0.42257,0.41377,0.40004,0.43595,0.42495,0.41872,
Cpu,0.04116,0.03222,0.03206,0.02515,0.03598,0.03506,0.03336,0.033840.03136,0.04585,0.02767,0.04409,0.02335,0.02662,0.04002,0.04104,0.03693,0.03964,0.03776,0.03295,0.03444,0.03013,0.03741,0.03032,0.02522,0.03404,0.0368,0.03052,0.03339,
Housing,0.19313,0.19379,0.19058,0.19328,0.19148,0.18973,0.19085,0.188820.1928,0.19484,0.18995,0.18907,0.19234,0.19166,0.18662,0.192,0.18752,0.19374,0.19259,0.19151,0.19228,0.19292,0.19126,0.18935,0.19245,0.19411,0.19121,0.19243,0.18674,
Sensory,0.54806,0.55091,0.54694,0.55178,0.55007,0.55036,0.5519,0.550660.54994,0.54995,0.5504,0.54773,0.55128,0.55168,0.55239,0.54844,0.55057,0.54897,0.54864,0.5496,0.54744,0.54723,0.5491,0.55135,0.54983,0.54891,0.5498,0.55123,0.54992,
Servo,0.46386,0.46664,0.4656,0.46507,0.46609,0.46956,0.46439,0.465860.46429,0.46399,0.46772,0.46577,0.4665,0.46916,0.46741,0.47025,0.46514,0.4667,0.46951,0.46524,0.46215,0.46712,0.46428,0.46815,0.46678,0.46572,0.46402,0.46478,0.45977,
Veteran,0.00377,0.00378,0.00367,0.00398,0.00383,0.00346,0.00321,0.003770.00385,0.00427,0.00341,0.00378,0.00384,0.00386,0.00414,0.00395,0.00394,0.00353,0.00394,0.00388,0.00359,0.0036,0.00382,0.00397,0.00322,0.00384,0.00415,0.00388,0.00393,
