DataSet,90.0:90.0:-0.6:0.8:12.0:0.4:0.95:0.95:0.95:0.2:0.5:0.1,30.0:90.0:-0.2:0.8:5.0:0.4:0.7:0.2:0.7:0.95:0.5:0.85,45.0:90.0:-0.2:1.0:3.0:0.2:0.2:0.95:0.7:0.35:0.7:0.2,75.0:90.0:-1.0:0.8:3.0:0.01:0.35:0.2:0.2:0.35:0.2:0.6,60.0:75.0:-0.6:0.2:5.0:0.1:0.7:0.95:0.35:0.5:0.35:0.6,45.0:60.0:-0.8:0.4:8.0:0.01:0.7:0.95:0.2:0.2:0.95:0.6,90.0:30.0:-1.0:1.0:5.0:0.2:0.7:0.7:0.2:0.95:0.95:0.35,75.0:30.0:-0.6:0.6:2.0:0.05:0.2:0.2:0.2:0.5:0.5:0.35,60.0:45.0:-0.2:0.2:12.0:0.01:0.5:0.5:0.2:0.7:0.5:0.1,30.0:30.0:-0.4:0.6:2.0:0.1:0.95:0.7:0.2:0.7:0.7:0.2,45.0:45.0:-0.8:0.6:3.0:0.2:0.5:0.2:0.95:0.2:0.35:0.85,75.0:75.0:-0.6:1.0:3.0:0.4:0.35:0.7:0.95:0.5:0.5:0.6,90.0:75.0:-0.2:0.2:8.0:0.05:0.35:0.7:0.7:0.35:0.35:0.1,90.0:60.0:-0.8:0.4:5.0:0.01:0.2:0.2:0.95:0.7:0.35:0.2,30.0:75.0:-0.4:1.0:2.0:0.05:0.7:0.35:0.5:0.2:0.35:0.2,60.0:45.0:-1.0:0.8:2.0:0.1:0.35:0.2:0.95:0.2:0.95:0.1,30.0:75.0:-0.6:0.8:5.0:0.4:0.5:0.5:0.2:0.2:0.7:0.35,45.0:90.0:-1.0:0.6:5.0:0.2:0.2:0.95:0.35:0.7:0.2:0.1,45.0:60.0:-0.6:0.4:2.0:0.1:0.35:0.95:0.35:0.35:0.5:0.1,90.0:60.0:-0.6:0.6:8.0:0.4:0.5:0.95:0.7:0.95:0.2:0.6,60.0:30.0:-0.8:0.6:12.0:0.2:0.5:0.2:0.35:0.5:0.95:0.2,45.0:60.0:-0.4:1.0:12.0:0.01:0.95:0.35:0.2:0.5:0.35:0.85,45.0:90.0:-0.6:0.8:2.0:0.01:0.7:0.35:0.95:0.7:0.95:0.35,75.0:45.0:-0.6:0.8:2.0:0.4:0.2:0.7:0.5:0.2:0.35:0.85
AutoMpg,0.21951,0.22397,0.22511,0.22512,0.22136,0.22446,0.22204,0.22544,0.22031,0.22237,0.22434,0.2264,0.22254,0.22279,0.22118,0.22077,0.22399,0.2234,0.22243,0.22506,0.22426,0.22433,0.22332,0.2252
AutoPrice,0.00025,0.00028,0.00027,0.00026,0.00027,0.00025,0.00026,0.00027,0.00025,0.00027,0.00027,0.00025,0.00025,0.00028,0.00029,0.00025,0.00026,0.00025,0.00027,0.00025,0.00025,0.00029,0.00028,0.00027
BodyFat,0.41753,0.42108,0.3946,0.41651,0.41061,0.40066,0.41363,0.3857,0.43957,0.38867,0.4121,0.39742,0.43505,0.40305,0.42331,0.40542,0.42111,0.40535,0.40364,0.4118,0.41062,0.38856,0.40491,0.39116
Cpu,0.03811,0.0341,0.03658,0.04042,0.04896,0.02589,0.02898,0.0528,0.03808,0.03681,0.03925,0.03413,0.02683,0.0332,0.03328,0.03426,0.03983,0.04457,0.04405,0.04174,0.03933,0.04662,0.04012,0.03636
Housing,0.18743,0.19053,0.18308,0.18772,0.18798,0.18635,0.19083,0.18518,0.18947,0.18748,0.18811,0.18733,0.19005,0.18502,0.19277,0.18652,0.1899,0.18392,0.18839,0.18653,0.18801,0.18161,0.1828,0.18708
Sensory,0.552,0.54951,0.54615,0.54701,0.54938,0.54257,0.55249,0.54255,0.54868,0.54618,0.54553,0.54445,0.55494,0.54569,0.55085,0.55245,0.55198,0.54538,0.54578,0.54954,0.54603,0.5471,0.54627,0.54163
Servo,0.45906,0.47699,0.46816,0.46508,0.4654,0.46709,0.47364,0.46725,0.4664,0.46419,0.46415,0.46575,0.4715,0.46232,0.47029,0.46862,0.46493,0.46479,0.47092,0.46525,0.46533,0.47596,0.46354,0.46077
Veteran,0.00454,0.00399,0.00426,0.00433,0.00434,0.00443,0.00382,0.0046,0.00394,0.00421,0.00438,0.00429,0.00437,0.00445,0.00412,0.00397,0.0041,0.00456,0.00439,0.00443,0.00404,0.00467,0.00436,0.00422
