DataSet,90.0:90.0:-0.6:0.8:12.0:0.4:0.95:0.95:0.95:0.2:0.5:0.1,30.0:90.0:-0.2:0.8:5.0:0.4:0.7:0.2:0.7:0.95:0.5:0.85,45.0:90.0:-0.2:1.0:3.0:0.2:0.2:0.95:0.7:0.35:0.7:0.2,75.0:90.0:-1.0:0.8:3.0:0.01:0.35:0.2:0.2:0.35:0.2:0.6,60.0:75.0:-0.6:0.2:5.0:0.1:0.7:0.95:0.35:0.5:0.35:0.6,45.0:60.0:-0.8:0.4:8.0:0.01:0.7:0.95:0.2:0.2:0.95:0.6,90.0:30.0:-1.0:1.0:5.0:0.2:0.7:0.7:0.2:0.95:0.95:0.35,75.0:30.0:-0.6:0.6:2.0:0.05:0.2:0.2:0.2:0.5:0.5:0.35,60.0:45.0:-0.2:0.2:12.0:0.01:0.5:0.5:0.2:0.7:0.5:0.1,30.0:30.0:-0.4:0.6:2.0:0.1:0.95:0.7:0.2:0.7:0.7:0.2,45.0:45.0:-0.8:0.6:3.0:0.2:0.5:0.2:0.95:0.2:0.35:0.85,75.0:75.0:-0.6:1.0:3.0:0.4:0.35:0.7:0.95:0.5:0.5:0.6,90.0:75.0:-0.2:0.2:8.0:0.05:0.35:0.7:0.7:0.35:0.35:0.1,90.0:60.0:-0.8:0.4:5.0:0.01:0.2:0.2:0.95:0.7:0.35:0.2,30.0:75.0:-0.4:1.0:2.0:0.05:0.7:0.35:0.5:0.2:0.35:0.2,60.0:45.0:-1.0:0.8:2.0:0.1:0.35:0.2:0.95:0.2:0.95:0.1,30.0:75.0:-0.6:0.8:5.0:0.4:0.5:0.5:0.2:0.2:0.7:0.35,45.0:90.0:-1.0:0.6:5.0:0.2:0.2:0.95:0.35:0.7:0.2:0.1,45.0:60.0:-0.6:0.4:2.0:0.1:0.35:0.95:0.35:0.35:0.5:0.1,90.0:60.0:-0.6:0.6:8.0:0.4:0.5:0.95:0.7:0.95:0.2:0.6,60.0:30.0:-0.8:0.6:12.0:0.2:0.5:0.2:0.35:0.5:0.95:0.2,45.0:60.0:-0.4:1.0:12.0:0.01:0.95:0.35:0.2:0.5:0.35:0.85,45.0:90.0:-0.6:0.8:2.0:0.01:0.7:0.35:0.95:0.7:0.95:0.35,75.0:45.0:-0.6:0.8:2.0:0.4:0.2:0.7:0.5:0.2:0.35:0.85
Banknote,0.99993,0.99985,0.9997,0.99978,0.99993,0.99985,1,0.99993,1,0.99978,0.99993,0.99993,0.99993,0.99985,0.99993,0.99985,1,0.99985,0.99978,1,0.99993,0.99978,0.99985,0.99985
Blood,0.74718,0.74772,0.74516,0.74866,0.74973,0.74892,0.74919,0.75148,0.75054,0.74812,0.74906,0.74449,0.75094,0.74987,0.75067,0.74798,0.7496,0.74892,0.74892,0.75081,0.74812,0.74691,0.74543,0.74624
Car,0.84161,0.83883,0.82922,0.8331,0.84375,0.8349,0.83773,0.82905,0.83478,0.83241,0.81933,0.83316,0.84294,0.83929,0.83738,0.83385,0.83918,0.82697,0.82865,0.84653,0.8511,0.83183,0.83779,0.82529
Cardiotocography,0.75714,0.77071,0.75576,0.75438,0.76762,0.75538,0.77119,0.75595,0.76148,0.75567,0.756,0.75319,0.76619,0.77281,0.77048,0.75786,0.76343,0.75405,0.75619,0.77419,0.768,0.75381,0.75752,0.752
Chart,0.9075,0.9175,0.88683,0.89117,0.89917,0.89517,0.91117,0.88867,0.90433,0.90083,0.891,0.89083,0.9145,0.91283,0.91183,0.91333,0.90683,0.89217,0.89317,0.917,0.9115,0.90183,0.896,0.895
Dermatology,0.96612,0.96831,0.96749,0.96148,0.96831,0.9582,0.97104,0.96421,0.96913,0.96749,0.95984,0.9623,0.9694,0.96612,0.96913,0.96995,0.96475,0.96475,0.96667,0.96475,0.96967,0.96366,0.96393,0.96284
Fertility,0.69111,0.69333,0.66,0.65667,0.64667,0.67,0.65556,0.67889,0.68333,0.67556,0.66556,0.68111,0.66444,0.69889,0.69,0.67778,0.68222,0.65333,0.66556,0.70333,0.69222,0.67667,0.65778,0.66444
Haberman,0.7183,0.70686,0.71667,0.72484,0.71405,0.72353,0.71307,0.71569,0.7085,0.71078,0.69771,0.71536,0.7085,0.70948,0.71046,0.71046,0.70654,0.71797,0.71895,0.70261,0.71601,0.7219,0.72386,0.72255
Hayes,0.66894,0.66818,0.66515,0.66439,0.65758,0.67727,0.67424,0.6553,0.68182,0.67045,0.66212,0.67045,0.675,0.66439,0.66818,0.64621,0.6697,0.66288,0.65833,0.68636,0.66667,0.65758,0.6697,0.64773
Hill,0.6269,0.65809,0.62178,0.6203,0.64901,0.617,0.65017,0.61601,0.63234,0.62079,0.61304,0.6198,0.66601,0.65726,0.66073,0.62789,0.6429,0.61205,0.60528,0.65875,0.6538,0.61947,0.61634,0.61947
Ionosphere,0.84615,0.85812,0.84872,0.85128,0.84473,0.84701,0.84444,0.849,0.85043,0.84615,0.84815,0.83989,0.84501,0.85356,0.84558,0.84672,0.85071,0.85385,0.84302,0.84929,0.84729,0.84103,0.8453,0.8416
Letter,0.68085,0.69425,0.66865,0.67195,0.69839,0.67187,0.69797,0.67539,0.67731,0.67832,0.67224,0.67292,0.69194,0.70041,0.69561,0.66659,0.69396,0.66897,0.67081,0.70107,0.6935,0.66972,0.67356,0.66746
Libras,0.75167,0.76367,0.75933,0.75833,0.75833,0.74167,0.76,0.75633,0.74833,0.75667,0.751,0.747,0.76467,0.771,0.77333,0.75567,0.75,0.74733,0.74767,0.769,0.76567,0.75367,0.756,0.74133
Optdigits,0.87813,0.88694,0.8691,0.87379,0.88587,0.87249,0.88985,0.87381,0.88271,0.88,0.86682,0.87461,0.88622,0.89449,0.88466,0.87038,0.87934,0.8736,0.87225,0.89649,0.88572,0.8726,0.86932,0.86913
Pen,0.90187,0.91504,0.89584,0.89407,0.91838,0.89612,0.91884,0.89414,0.90242,0.89889,0.89175,0.89802,0.9196,0.92325,0.9174,0.89564,0.91706,0.89588,0.89779,0.92286,0.92117,0.89424,0.89845,0.89615
QSARBiodegradation,0.85162,0.8619,0.85381,0.85152,0.85686,0.84733,0.85914,0.85181,0.85533,0.85638,0.85286,0.84981,0.86257,0.86,0.86248,0.8539,0.85381,0.85362,0.85295,0.86219,0.85895,0.85086,0.85362,0.85114
Shuttle,0.50597,0.46081,0.44524,0.42019,0.47141,0.48772,0.44697,0.53717,0.50351,0.54584,0.38881,0.51628,0.45432,0.5683,0.4481,0.49789,0.41646,0.56937,0.49712,0.50405,0.49832,0.55603,0.60486,0.55054
SPECTF,0.3275,0.30083,0.30667,0.27333,0.3425,0.32583,0.28458,0.34542,0.35125,0.3375,0.29792,0.33875,0.33292,0.29667,0.34542,0.32708,0.29542,0.34167,0.3425,0.30125,0.2975,0.335,0.345,0.30125
Wilt,0.9676,0.96954,0.96611,0.9651,0.9676,0.96644,0.96853,0.96629,0.96768,0.9677,0.96532,0.96638,0.96921,0.96966,0.96911,0.96669,0.96826,0.96412,0.96625,0.96995,0.96855,0.96572,0.96584,0.96623
Zoo,0.86989,0.86452,0.86129,0.86774,0.85054,0.85806,0.87742,0.86022,0.85591,0.83226,0.85161,0.85484,0.85699,0.87634,0.83118,0.84839,0.86237,0.83871,0.84516,0.86022,0.86559,0.86882,0.83118,0.83333
