DataSet,0.7:0.95:0.35:0.5:0.95:0.2,0.95:0.2:0.7:0.5:0.35:0.5,0.95:0.35:0.95:0.95:0.2:0.2,0.95:0.5:0.2:0.2:0.7:0.2,0.95:0.7:0.35:0.7:0.5:0.35,0.95:0.95:0.5:0.35:0.95:0.95,0.2:0.95:0.95:0.35:0.5:0.95,0.35:0.95:0.95:0.2:0.35:0.7,0.7:0.35:0.2:0.35:0.35:0.2,0.5:0.7:0.5:0.95:0.5:0.5,0.35:0.5:0.7:0.7:0.7:0.2,0.95:0.2:0.2:0.2:0.5:0.7,0.7:0.2:0.5:0.5:0.2:0.35,0.5:0.5:0.35:0.95:0.95:0.2,0.2:0.95:0.7:0.35:0.2:0.5,0.35:0.35:0.7:0.95:0.5:0.7,0.2:0.7:0.5:0.7:0.35:0.95,0.35:0.7:0.95:0.5:0.2:0.35,0.2:0.35:0.95:0.2:0.5:0.2
AutoMpg,0.22168,0.22141,0.22172,0.22036,0.22196,0.22048,0.2211,0.22154,0.21979,0.22207,0.22068,0.2202,0.22132,0.22155,0.22116,0.22255,0.22149,0.22157,0.22242
AutoPrice,0.00027,0.00027,0.00027,0.00028,0.00027,0.00026,0.00026,0.00025,0.00026,0.00026,0.00026,0.00027,0.00028,0.00027,0.00027,0.00025,0.00026,0.00026,0.00027
BodyFat,0.4276,0.44445,0.43262,0.41619,0.4273,0.42178,0.43153,0.42576,0.42678,0.42357,0.43135,0.42681,0.42304,0.42377,0.43599,0.42244,0.42035,0.422,0.42815
Cpu,0.03606,0.03444,0.0425,0.04146,0.0353,0.03794,0.03261,0.04022,0.03337,0.04292,0.0405,0.03524,0.03649,0.03592,0.03774,0.04061,0.03867,0.04053,0.04159
Housing,0.18566,0.19072,0.18956,0.18913,0.18757,0.18735,0.18503,0.18784,0.18965,0.19102,0.19055,0.18967,0.18714,0.18784,0.18986,0.18853,0.19056,0.18669,0.19038
Sensory,0.55164,0.55197,0.5526,0.55318,0.55277,0.5525,0.55071,0.551,0.55047,0.55059,0.55202,0.55123,0.55149,0.55319,0.55235,0.55181,0.55218,0.5517,0.55389
Servo,0.46718,0.46101,0.46557,0.46281,0.46668,0.46578,0.463,0.46376,0.4638,0.46185,0.46488,0.46503,0.4638,0.46611,0.46615,0.46696,0.4658,0.46757,0.46441
Veteran,0.0038,0.00393,0.00397,0.00385,0.00386,0.00377,0.00398,0.00396,0.00375,0.0038,0.00365,0.00386,0.00401,0.00395,0.00386,0.00393,0.00406,0.00378,0.0037
