DataSet,90.0:90.0:-0.6:0.8:12.0:0.4:0.95:0.95:0.95:0.2:0.5:0.1,30.0:90.0:-0.2:0.8:5.0:0.4:0.7:0.2:0.7:0.95:0.5:0.85,45.0:90.0:-0.2:1.0:3.0:0.2:0.2:0.95:0.7:0.35:0.7:0.2,75.0:90.0:-1.0:0.8:3.0:0.01:0.35:0.2:0.2:0.35:0.2:0.6,60.0:75.0:-0.6:0.2:5.0:0.1:0.7:0.95:0.35:0.5:0.35:0.6,45.0:60.0:-0.8:0.4:8.0:0.01:0.7:0.95:0.2:0.2:0.95:0.6,90.0:30.0:-1.0:1.0:5.0:0.2:0.7:0.7:0.2:0.95:0.95:0.35,75.0:30.0:-0.6:0.6:2.0:0.05:0.2:0.2:0.2:0.5:0.5:0.35,60.0:45.0:-0.2:0.2:12.0:0.01:0.5:0.5:0.2:0.7:0.5:0.1,30.0:30.0:-0.4:0.6:2.0:0.1:0.95:0.7:0.2:0.7:0.7:0.2,45.0:45.0:-0.8:0.6:3.0:0.2:0.5:0.2:0.95:0.2:0.35:0.85,75.0:75.0:-0.6:1.0:3.0:0.4:0.35:0.7:0.95:0.5:0.5:0.6,90.0:75.0:-0.2:0.2:8.0:0.05:0.35:0.7:0.7:0.35:0.35:0.1,90.0:60.0:-0.8:0.4:5.0:0.01:0.2:0.2:0.95:0.7:0.35:0.2,30.0:75.0:-0.4:1.0:2.0:0.05:0.7:0.35:0.5:0.2:0.35:0.2,60.0:45.0:-1.0:0.8:2.0:0.1:0.35:0.2:0.95:0.2:0.95:0.1,30.0:75.0:-0.6:0.8:5.0:0.4:0.5:0.5:0.2:0.2:0.7:0.35,45.0:90.0:-1.0:0.6:5.0:0.2:0.2:0.95:0.35:0.7:0.2:0.1,45.0:60.0:-0.6:0.4:2.0:0.1:0.35:0.95:0.35:0.35:0.5:0.1,90.0:60.0:-0.6:0.6:8.0:0.4:0.5:0.95:0.7:0.95:0.2:0.6,60.0:30.0:-0.8:0.6:12.0:0.2:0.5:0.2:0.35:0.5:0.95:0.2,45.0:60.0:-0.4:1.0:12.0:0.01:0.95:0.35:0.2:0.5:0.35:0.85,45.0:90.0:-0.6:0.8:2.0:0.01:0.7:0.35:0.95:0.7:0.95:0.35,75.0:45.0:-0.6:0.8:2.0:0.4:0.2:0.7:0.5:0.2:0.35:0.85
Banknote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0.99978,0.99978,0.99985,0.99985,0.9997,0.99978,0.99993,0.99985,0.99978,0.99926,0.99985,0.99963,0.99993,0.99985,0.99978,0.99993,0.99978,0.9997,0.99978,1,0.99993,0.99985,0.99941,0.9997,0.99993,0.99985,0.9997,0.99978,0.99993,0.99985,1,0.99993,1,0.99978,0.99993,0.99993,0.99993,0.99985,0.99993,0.99985,1,0.99985,0.99978,1,0.99993,0.99978,0.99985,0.99985,0.99978,0.99978,0.99985,0.99985,0.9997,0.99978,0.99993,0.99985,0.99978,0.99926,0.99985,0.99963,0.99993,0.99985,0.99978,0.99993,0.99978,0.9997,0.99978,1,0.99993,0.99985,0.99941,0.9997,0.99993,0.99985,0.9997,0.99978,0.99993,0.99985,1,0.99993,1,0.99978,0.99993,0.99993,0.99993,0.99985,0.99993,0.99985,1,0.99985,0.99978,1,0.99993,0.99978,0.99985,0.99985,
Blood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0.75175,0.75336,0.74852,0.7496,0.74987,0.74987,0.74758,0.75027,0.75134,0.75013,0.74879,0.75108,0.7504,0.74946,0.74973,0.74153,0.74731,0.74651,0.74691,0.72204,0.74785,0.74691,0.7504,0.74852,0.74718,0.74772,0.74516,0.74866,0.74973,0.74892,0.74919,0.75148,0.75054,0.74812,0.74906,0.74449,0.75094,0.74987,0.75067,0.74798,0.7496,0.74892,0.74892,0.75081,0.74812,0.74691,0.74543,0.74624,0.75175,0.75336,0.74852,0.7496,0.74987,0.74987,0.74758,0.75027,0.75134,0.75013,0.74879,0.75108,0.7504,0.74946,0.74973,0.74153,0.74731,0.74651,0.74691,0.72204,0.74785,0.74691,0.7504,0.74852,0.74718,0.74772,0.74516,0.74866,0.74973,0.74892,0.74919,0.75148,0.75054,0.74812,0.74906,0.74449,0.75094,0.74987,0.75067,0.74798,0.7496,0.74892,0.74892,0.75081,0.74812,0.74691,0.74543,0.74624,
Car,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0.83212,0.84062,0.83843,0.84236,0.83067,0.83015,0.82662,0.82384,0.82598,0.82622,0.83044,0.83814,0.8364,0.8441,0.83929,0.83079,0.83137,0.83785,0.82946,0.83247,0.83212,0.83206,0.84265,0.85185,0.84161,0.83883,0.82922,0.8331,0.84375,0.8349,0.83773,0.82905,0.83478,0.83241,0.81933,0.83316,0.84294,0.83929,0.83738,0.83385,0.83918,0.82697,0.82865,0.84653,0.8511,0.83183,0.83779,0.82529,0.83212,0.84062,0.83843,0.84236,0.83067,0.83015,0.82662,0.82384,0.82598,0.82622,0.83044,0.83814,0.8364,0.8441,0.83929,0.83079,0.83137,0.83785,0.82946,0.83247,0.83212,0.83206,0.84265,0.85185,0.84161,0.83883,0.82922,0.8331,0.84375,0.8349,0.83773,0.82905,0.83478,0.83241,0.81933,0.83316,0.84294,0.83929,0.83738,0.83385,0.83918,0.82697,0.82865,0.84653,0.8511,0.83183,0.83779,0.82529,
Cardiotocography,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0.76143,0.76733,0.76319,0.77024,0.76324,0.74848,0.75319,0.75024,0.75238,0.75114,0.75252,0.76262,0.76767,0.76943,0.7689,0.75381,0.75567,0.75833,0.754,0.7521,0.75614,0.75605,0.76833,0.77176,0.75714,0.77071,0.75576,0.75438,0.76762,0.75538,0.77119,0.75595,0.76148,0.75567,0.756,0.75319,0.76619,0.77281,0.77048,0.75786,0.76343,0.75405,0.75619,0.77419,0.768,0.75381,0.75752,0.752,0.76143,0.76733,0.76319,0.77024,0.76324,0.74848,0.75319,0.75024,0.75238,0.75114,0.75252,0.76262,0.76767,0.76943,0.7689,0.75381,0.75567,0.75833,0.754,0.7521,0.75614,0.75605,0.76833,0.77176,0.75714,0.77071,0.75576,0.75438,0.76762,0.75538,0.77119,0.75595,0.76148,0.75567,0.756,0.75319,0.76619,0.77281,0.77048,0.75786,0.76343,0.75405,0.75619,0.77419,0.768,0.75381,0.75752,0.752,
Chart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0.89783,0.914,0.8975,0.9125,0.89417,0.8975,0.89617,0.8955,0.89633,0.89617,0.8985,0.91033,0.90317,0.91867,0.9155,0.89833,0.89717,0.89917,0.898,0.89383,0.9015,0.88817,0.92433,0.92067,0.9075,0.9175,0.88683,0.89117,0.89917,0.89517,0.91117,0.88867,0.90433,0.90083,0.891,0.89083,0.9145,0.91283,0.91183,0.91333,0.90683,0.89217,0.89317,0.917,0.9115,0.90183,0.896,0.895,0.89783,0.914,0.8975,0.9125,0.89417,0.8975,0.89617,0.8955,0.89633,0.89617,0.8985,0.91033,0.90317,0.91867,0.9155,0.89833,0.89717,0.89917,0.898,0.89383,0.9015,0.88817,0.92433,0.92067,0.9075,0.9175,0.88683,0.89117,0.89917,0.89517,0.91117,0.88867,0.90433,0.90083,0.891,0.89083,0.9145,0.91283,0.91183,0.91333,0.90683,0.89217,0.89317,0.917,0.9115,0.90183,0.896,0.895,
Dermatology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0.9694,0.96967,0.96831,0.96967,0.97213,0.96776,0.96093,0.96393,0.96475,0.95874,0.96667,0.96721,0.96995,0.96749,0.96995,0.96475,0.96503,0.96093,0.96202,0.96503,0.97077,0.96749,0.96448,0.96503,0.96612,0.96831,0.96749,0.96148,0.96831,0.9582,0.97104,0.96421,0.96913,0.96749,0.95984,0.9623,0.9694,0.96612,0.96913,0.96995,0.96475,0.96475,0.96667,0.96475,0.96967,0.96366,0.96393,0.96284,0.9694,0.96967,0.96831,0.96967,0.97213,0.96776,0.96093,0.96393,0.96475,0.95874,0.96667,0.96721,0.96995,0.96749,0.96995,0.96475,0.96503,0.96093,0.96202,0.96503,0.97077,0.96749,0.96448,0.96503,0.96612,0.96831,0.96749,0.96148,0.96831,0.9582,0.97104,0.96421,0.96913,0.96749,0.95984,0.9623,0.9694,0.96612,0.96913,0.96995,0.96475,0.96475,0.96667,0.96475,0.96967,0.96366,0.96393,0.96284,
Fertility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0.68,0.66778,0.68667,0.67556,0.68222,0.64556,0.67889,0.67111,0.67222,0.65444,0.69444,0.66778,0.67,0.68667,0.69111,0.68556,0.66556,0.67556,0.64556,0.64222,0.68111,0.63889,0.67556,0.69556,0.69111,0.69333,0.66,0.65667,0.64667,0.67,0.65556,0.67889,0.68333,0.67556,0.66556,0.68111,0.66444,0.69889,0.69,0.67778,0.68222,0.65333,0.66556,0.70333,0.69222,0.67667,0.65778,0.66444,0.68,0.66778,0.68667,0.67556,0.68222,0.64556,0.67889,0.67111,0.67222,0.65444,0.69444,0.66778,0.67,0.68667,0.69111,0.68556,0.66556,0.67556,0.64556,0.64222,0.68111,0.63889,0.67556,0.69556,0.69111,0.69333,0.66,0.65667,0.64667,0.67,0.65556,0.67889,0.68333,0.67556,0.66556,0.68111,0.66444,0.69889,0.69,0.67778,0.68222,0.65333,0.66556,0.70333,0.69222,0.67667,0.65778,0.66444,
Haberman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0.71634,0.71373,0.72059,0.71176,0.70621,0.72157,0.7183,0.70294,0.72386,0.71765,0.71634,0.71471,0.71373,0.71111,0.7183,0.70163,0.71536,0.71667,0.69183,0.71797,0.71601,0.7098,0.68235,0.70425,0.7183,0.70686,0.71667,0.72484,0.71405,0.72353,0.71307,0.71569,0.7085,0.71078,0.69771,0.71536,0.7085,0.70948,0.71046,0.71046,0.70654,0.71797,0.71895,0.70261,0.71601,0.7219,0.72386,0.72255,0.71634,0.71373,0.72059,0.71176,0.70621,0.72157,0.7183,0.70294,0.72386,0.71765,0.71634,0.71471,0.71373,0.71111,0.7183,0.70163,0.71536,0.71667,0.69183,0.71797,0.71601,0.7098,0.68235,0.70425,0.7183,0.70686,0.71667,0.72484,0.71405,0.72353,0.71307,0.71569,0.7085,0.71078,0.69771,0.71536,0.7085,0.70948,0.71046,0.71046,0.70654,0.71797,0.71895,0.70261,0.71601,0.7219,0.72386,0.72255,
Hayes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0.66288,0.67045,0.66212,0.65909,0.65758,0.66364,0.68106,0.67727,0.67273,0.68182,0.66061,0.66515,0.66061,0.68712,0.67879,0.6697,0.64924,0.66515,0.66894,0.68712,0.67424,0.67727,0.67652,0.65227,0.66894,0.66818,0.66515,0.66439,0.65758,0.67727,0.67424,0.6553,0.68182,0.67045,0.66212,0.67045,0.675,0.66439,0.66818,0.64621,0.6697,0.66288,0.65833,0.68636,0.66667,0.65758,0.6697,0.64773,0.66288,0.67045,0.66212,0.65909,0.65758,0.66364,0.68106,0.67727,0.67273,0.68182,0.66061,0.66515,0.66061,0.68712,0.67879,0.6697,0.64924,0.66515,0.66894,0.68712,0.67424,0.67727,0.67652,0.65227,0.66894,0.66818,0.66515,0.66439,0.65758,0.67727,0.67424,0.6553,0.68182,0.67045,0.66212,0.67045,0.675,0.66439,0.66818,0.64621,0.6697,0.66288,0.65833,0.68636,0.66667,0.65758,0.6697,0.64773,
Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0.633,0.65776,0.64076,0.66254,0.64175,0.61419,0.61452,0.61518,0.60759,0.6132,0.62112,0.63696,0.64125,0.6637,0.65561,0.60825,0.61601,0.62112,0.61749,0.6236,0.62145,0.62871,0.65809,0.66518,0.6269,0.65809,0.62178,0.6203,0.64901,0.617,0.65017,0.61601,0.63234,0.62079,0.61304,0.6198,0.66601,0.65726,0.66073,0.62789,0.6429,0.61205,0.60528,0.65875,0.6538,0.61947,0.61634,0.61947,0.633,0.65776,0.64076,0.66254,0.64175,0.61419,0.61452,0.61518,0.60759,0.6132,0.62112,0.63696,0.64125,0.6637,0.65561,0.60825,0.61601,0.62112,0.61749,0.6236,0.62145,0.62871,0.65809,0.66518,0.6269,0.65809,0.62178,0.6203,0.64901,0.617,0.65017,0.61601,0.63234,0.62079,0.61304,0.6198,0.66601,0.65726,0.66073,0.62789,0.6429,0.61205,0.60528,0.65875,0.6538,0.61947,0.61634,0.61947,
