DataSet,90.0:90.0:-0.6:0.8:12.0:0.4:0.95:0.95:0.95:0.2:0.5:0.1,30.0:90.0:-0.2:0.8:5.0:0.4:0.7:0.2:0.7:0.95:0.5:0.85,45.0:90.0:-0.2:1.0:3.0:0.2:0.2:0.95:0.7:0.35:0.7:0.2,75.0:90.0:-1.0:0.8:3.0:0.01:0.35:0.2:0.2:0.35:0.2:0.6,60.0:75.0:-0.6:0.2:5.0:0.1:0.7:0.95:0.35:0.5:0.35:0.6,45.0:60.0:-0.8:0.4:8.0:0.01:0.7:0.95:0.2:0.2:0.95:0.6,90.0:30.0:-1.0:1.0:5.0:0.2:0.7:0.7:0.2:0.95:0.95:0.35,75.0:30.0:-0.6:0.6:2.0:0.05:0.2:0.2:0.2:0.5:0.5:0.35,60.0:45.0:-0.2:0.2:12.0:0.01:0.5:0.5:0.2:0.7:0.5:0.1,30.0:30.0:-0.4:0.6:2.0:0.1:0.95:0.7:0.2:0.7:0.7:0.2,45.0:45.0:-0.8:0.6:3.0:0.2:0.5:0.2:0.95:0.2:0.35:0.85,75.0:75.0:-0.6:1.0:3.0:0.4:0.35:0.7:0.95:0.5:0.5:0.6,90.0:75.0:-0.2:0.2:8.0:0.05:0.35:0.7:0.7:0.35:0.35:0.1,90.0:60.0:-0.8:0.4:5.0:0.01:0.2:0.2:0.95:0.7:0.35:0.2,30.0:75.0:-0.4:1.0:2.0:0.05:0.7:0.35:0.5:0.2:0.35:0.2,60.0:45.0:-1.0:0.8:2.0:0.1:0.35:0.2:0.95:0.2:0.95:0.1,30.0:75.0:-0.6:0.8:5.0:0.4:0.5:0.5:0.2:0.2:0.7:0.35,45.0:90.0:-1.0:0.6:5.0:0.2:0.2:0.95:0.35:0.7:0.2:0.1,45.0:60.0:-0.6:0.4:2.0:0.1:0.35:0.95:0.35:0.35:0.5:0.1,90.0:60.0:-0.6:0.6:8.0:0.4:0.5:0.95:0.7:0.95:0.2:0.6,60.0:30.0:-0.8:0.6:12.0:0.2:0.5:0.2:0.35:0.5:0.95:0.2,45.0:60.0:-0.4:1.0:12.0:0.01:0.95:0.35:0.2:0.5:0.35:0.85,45.0:90.0:-0.6:0.8:2.0:0.01:0.7:0.35:0.95:0.7:0.95:0.35,75.0:45.0:-0.6:0.8:2.0:0.4:0.2:0.7:0.5:0.2:0.35:0.85
Banknote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0.99956,0.99978,0.99985,1,0.9997,1,0.99985,0.99985,0.9997,0.99985,0.99985,0.9997,0.99978,0.99985,1,0.99963,0.99985,0.99993,0.99978,0.99985,0.99993,0.99985,0.99963,0.99993,0.99993,0.9997,0.99948,0.99985,0.99985,0.99978,0.99963,0.99985,0.99993,0.99993,0.99993,0.99978,0.99978,0.99993,0.99993,0.99978,0.9997,0.99993,0.9997,0.99993,0.99985,0.99985,0.99978,1,
Blood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0.74933,0.74704,0.74691,0.74933,0.74489,0.74879,0.74664,0.7496,0.74906,0.74745,0.74745,0.74919,0.75027,0.75054,0.74812,0.74946,0.74704,0.75121,0.75067,0.7457,0.74798,0.75,0.74409,0.74973,0.75108,0.7496,0.74973,0.74718,0.74879,0.75121,0.74704,0.74839,0.74852,0.74933,0.74785,0.74704,0.74758,0.74906,0.74368,0.74973,0.75067,0.7457,0.7496,0.74839,0.75161,0.7539,0.74745,0.74812,
Car,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0.83924,0.83953,0.83773,0.84097,0.83819,0.82627,0.82807,0.83524,0.83038,0.82639,0.82523,0.84039,0.82037,0.84126,0.84369,0.82917,0.83588,0.82413,0.83397,0.82841,0.84086,0.83044,0.82743,0.83779,0.84265,0.82552,0.82529,0.81956,0.84288,0.82726,0.83536,0.825,0.83657,0.83692,0.82471,0.83241,0.83814,0.82378,0.83814,0.84282,0.83171,0.83154,0.82679,0.82784,0.82668,0.83154,0.82639,0.83281,
Cardiotocography,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0.76367,0.76971,0.76433,0.76395,0.76552,0.75257,0.75457,0.75576,0.75186,0.7539,0.75414,0.76157,0.75176,0.76229,0.76543,0.75276,0.75086,0.75414,0.75286,0.75119,0.77067,0.75352,0.75181,0.76381,0.76776,0.76833,0.75381,0.75695,0.7589,0.75452,0.76533,0.75429,0.76781,0.75805,0.75067,0.75443,0.76581,0.75329,0.76743,0.76495,0.76662,0.75052,0.7491,0.75576,0.75738,0.75381,0.7539,0.75562,
Chart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0.90767,0.9105,0.91167,0.9085,0.91067,0.903,0.89433,0.89767,0.88233,0.89017,0.888,0.91733,0.9,0.91767,0.91783,0.89283,0.90083,0.8995,0.89583,0.8935,0.91883,0.898,0.8985,0.908,0.9185,0.917,0.89017,0.89,0.905,0.90033,0.91417,0.89833,0.91883,0.8995,0.89917,0.89817,0.91617,0.893,0.9175,0.9135,0.91733,0.89183,0.88867,0.89567,0.89283,0.8965,0.89017,0.8985,
Dermatology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0.96284,0.96749,0.96503,0.9653,0.96202,0.96421,0.96175,0.96038,0.9612,0.96858,0.96557,0.96557,0.96585,0.96421,0.96858,0.95492,0.96148,0.9571,0.96066,0.96311,0.96831,0.96694,0.96667,0.96257,0.96557,0.9582,0.96612,0.96284,0.96694,0.96284,0.97049,0.96393,0.9612,0.96448,0.96202,0.96257,0.96339,0.96721,0.96284,0.96339,0.96257,0.96366,0.96475,0.96339,0.96475,0.96557,0.96858,0.9612,
Fertility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0.64667,0.66889,0.67778,0.67667,0.67778,0.65778,0.66111,0.65111,0.66333,0.69,0.65444,0.63111,0.67222,0.66889,0.64778,0.66444,0.67444,0.63778,0.66444,0.63667,0.65556,0.65889,0.65889,0.66556,0.65556,0.66111,0.67,0.66111,0.66444,0.64222,0.64889,0.65111,0.66889,0.66556,0.69222,0.66111,0.66444,0.64222,0.65556,0.66222,0.66222,0.65333,0.65889,0.68556,0.66222,0.64667,0.69,0.68556,
Haberman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0.72582,0.7219,0.72255,0.7232,0.7317,0.71569,0.72255,0.7232,0.72418,0.72516,0.71699,0.72255,0.72843,0.72255,0.72288,0.7281,0.72647,0.71928,0.72516,0.72124,0.71961,0.71732,0.72255,0.72582,0.7219,0.72549,0.72026,0.72516,0.72484,0.72353,0.72353,0.71863,0.72582,0.72092,0.72026,0.71536,0.72614,0.72092,0.72549,0.72549,0.72124,0.72124,0.72418,0.72255,0.71928,0.72451,0.72516,0.72092,
Hayes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0.66439,0.65682,0.65909,0.66061,0.67727,0.66136,0.66515,0.67652,0.66742,0.68333,0.66288,0.66818,0.66136,0.68636,0.67121,0.67955,0.66591,0.66061,0.66894,0.67045,0.69394,0.69545,0.64697,0.66061,0.66439,0.68182,0.67879,0.66136,0.67652,0.65985,0.65985,0.66288,0.675,0.67273,0.66288,0.68333,0.67879,0.65455,0.65833,0.67045,0.68106,0.65682,0.66212,0.66742,0.66061,0.67879,0.68333,0.67576,
Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0.63927,0.64472,0.64026,0.6429,0.65116,0.61733,0.60726,0.62129,0.62343,0.60957,0.6137,0.64686,0.61931,0.63762,0.65594,0.62393,0.62096,0.62178,0.61799,0.61023,0.64505,0.61205,0.6203,0.65083,0.64917,0.64158,0.61997,0.61881,0.63432,0.61865,0.65231,0.60908,0.65644,0.617,0.6132,0.60825,0.64769,0.62492,0.64488,0.65033,0.64818,0.61518,0.59818,0.61535,0.62261,0.61782,0.60957,0.61848,
