Configuracion,Banknote,Blood,Car,Cardiotocography,Chart,Dermatology,Fertility,Haberman,Hayes,Hill,Ionosphere,Letter,Libras,Optdigits,Pen,QSARBiodegradation,Shuttle,SPECTF,Wilt,Zoo
300.0:0.15:16.0:0.5,0.99985,0.74987,0.84091,0.76024,0.90783,0.9653,0.66667,0.70752,0.67045,0.6363,0.84217,0.68105,0.76167,0.87327,0.90255,0.85876,0.4642,0.3875,0.96685,0.67849
300.0:0.3:20.0:0.95,0.99985,0.74987,0.84091,0.76024,0.90783,0.9653,0.66667,0.70752,0.67045,0.6363,0.84217,0.68105,0.76167,0.87327,0.90255,0.85876,0.46934,0.3875,0.96685,0.67849
300.0:0.5:4.0:0.2,0.99963,0.74946,0.83958,0.75733,0.89783,0.96557,0.64111,0.72549,0.65076,0.63515,0.84644,0.67959,0.76333,0.87407,0.90426,0.85533,0.48906,0.315,0.96737,0.76129
300.0:0.7:8.0:0.7,0.99926,0.74946,0.83958,0.75733,0.89633,0.96557,0.64556,0.72255,0.64697,0.63515,0.84615,0.67959,0.76333,0.87373,0.90426,0.85533,0.50719,0.3175,0.96737,0.76129
300.0:0.95:12.0:0.35,0.9997,0.74946,0.83709,0.75919,0.905,0.95738,0.65444,0.72124,0.65758,0.62706,0.84387,0.68227,0.76467,0.87416,0.90536,0.85705,0.50259,0.35625,0.96669,0.7043
100.0:0.95:20.0:0.35,0.9997,0.74892,0.83837,0.76405,0.91133,0.96311,0.66,0.72092,0.65833,0.64076,0.84615,0.68334,0.76667,0.87796,0.90794,0.85838,0.52418,0.37875,0.96758,0.66774
150.0:0.95:16.0:0.2,0.99985,0.75013,0.83918,0.76171,0.90633,0.96421,0.67,0.72614,0.64848,0.64241,0.83932,0.68182,0.76767,0.87455,0.9052,0.85952,0.481,0.38458,0.96789,0.68925
250.0:0.95:12.0:0.35,0.99993,0.75013,0.83727,0.75838,0.90583,0.96311,0.62778,0.72484,0.66439,0.62657,0.84359,0.68073,0.761,0.8737,0.90125,0.85581,0.54555,0.36625,0.96731,0.73548
200.0:0.7:12.0:0.95,1,0.74664,0.83929,0.7591,0.907,0.96393,0.66778,0.71928,0.67197,0.63053,0.84815,0.6812,0.77967,0.87416,0.89983,0.85152,0.54579,0.34208,0.96776,0.70645
100.0:0.5:8.0:0.7,0.99978,0.75175,0.84149,0.76138,0.9065,0.96257,0.67444,0.72451,0.66439,0.64769,0.84929,0.68529,0.77967,0.87433,0.90894,0.85638,0.49989,0.33542,0.96791,0.66129
