Configuracion,Banknote,Blood,Car,Cardiotocography,Chart,Dermatology,Fertility,Haberman,Hayes,Hill,Ionosphere,Letter,Libras,Optdigits,Pen,QSARBiodegradation,Shuttle,SPECTF,Wilt,Zoo
0.2:0.2:0.5:0.35:0.7:0.2,0.99963,0.75013,0.83079,0.764,0.9115,0.96066,0.67667,0.73072,0.67348,0.63795,0.84815,0.68784,0.776,0.8837,0.91276,0.85895,0.41817,0.38792,0.96855,0.72151
0.2:0.35:0.2:0.5:0.95:0.35,0.99993,0.75013,0.83177,0.76529,0.90333,0.95874,0.64667,0.72549,0.67197,0.64422,0.84302,0.68807,0.775,0.88329,0.912,0.86,0.40827,0.39,0.96846,0.69355
0.2:0.5:0.35:0.95:0.35:0.7,0.99978,0.74906,0.83461,0.76495,0.9085,0.96202,0.66333,0.73366,0.66667,0.63779,0.84729,0.68849,0.76867,0.88395,0.91331,0.85924,0.38374,0.36083,0.96846,0.72043
0.2:0.7:0.7:0.2:0.95:0.2,0.99978,0.7504,0.83229,0.76643,0.91433,0.96148,0.64889,0.72843,0.675,0.63416,0.84615,0.68913,0.78033,0.88067,0.91263,0.85667,0.42229,0.35417,0.96877,0.72258
0.2:0.95:0.7:0.7:0.2:0.7,0.99985,0.74973,0.83472,0.76414,0.91583,0.96311,0.65778,0.72876,0.6697,0.63498,0.85014,0.68837,0.78133,0.88036,0.91283,0.85933,0.41651,0.37292,0.96886,0.67742
0.35:0.2:0.95:0.7:0.95:0.7,0.99993,0.74933,0.83356,0.76271,0.91467,0.95929,0.66444,0.73072,0.68485,0.64109,0.84587,0.6885,0.768,0.88507,0.91331,0.85829,0.41367,0.36917,0.96888,0.74839
0.35:0.35:0.35:0.35:0.7:0.5,0.9997,0.74825,0.83576,0.76581,0.9105,0.95902,0.67222,0.72582,0.66894,0.64142,0.84957,0.68884,0.77067,0.8798,0.91293,0.86162,0.40894,0.39708,0.96877,0.70215
0.35:0.5:0.5:0.5:0.5:0.95,0.99993,0.75,0.83131,0.76562,0.909,0.96066,0.66667,0.72255,0.67424,0.63812,0.84274,0.68873,0.773,0.88193,0.91377,0.85733,0.39821,0.34667,0.96915,0.7
0.35:0.7:0.2:0.35:0.2:0.7,0.99985,0.74906,0.83571,0.765,0.911,0.96175,0.66,0.72876,0.66061,0.63977,0.84245,0.68835,0.77067,0.88091,0.91184,0.8581,0.37088,0.39167,0.96877,0.63333
0.35:0.95:0.7:0.95:0.7:0.35,0.99993,0.7504,0.836,0.76505,0.91167,0.96148,0.65667,0.72647,0.67803,0.63845,0.84929,0.68869,0.77833,0.88353,0.91391,0.86133,0.41234,0.35167,0.96869,0.74624
0.5:0.2:0.35:0.2:0.2:0.95,0.9997,0.74933,0.82963,0.76595,0.912,0.96011,0.66,0.73497,0.675,0.64191,0.849,0.68904,0.771,0.88355,0.91316,0.85971,0.36591,0.39625,0.96871,0.68387
0.5:0.35:0.5:0.2:0.35:0.35,0.99963,0.74987,0.83304,0.76648,0.912,0.95902,0.67444,0.7219,0.67652,0.64059,0.8453,0.68917,0.77767,0.88494,0.91147,0.86086,0.41683,0.35042,0.96902,0.66559
0.5:0.5:0.7:0.35:0.95:0.35,0.99985,0.74892,0.82998,0.76519,0.91117,0.96066,0.65333,0.72778,0.67879,0.6429,0.84815,0.68865,0.77533,0.88173,0.91351,0.86029,0.41624,0.39042,0.96913,0.6914
0.5:0.7:0.95:0.5:0.7:0.7,0.99956,0.74973,0.83235,0.76576,0.9035,0.96011,0.66444,0.72941,0.67424,0.6429,0.84587,0.68825,0.778,0.88355,0.9122,0.86105,0.47429,0.345,0.96849,0.67312
0.5:0.95:0.2:0.7:0.95:0.5,0.99978,0.74892,0.83576,0.76429,0.91217,0.96066,0.66333,0.72843,0.67121,0.64455,0.851,0.68717,0.76733,0.88655,0.91452,0.85933,0.4104,0.36792,0.96892,0.66344
0.7:0.2:0.2:0.95:0.7:0.95,0.99978,0.75,0.83565,0.76476,0.90933,0.9612,0.66111,0.73007,0.66894,0.64307,0.84359,0.68813,0.771,0.8813,0.91363,0.85724,0.39254,0.37375,0.96869,0.64086
0.7:0.35:0.7:0.7:0.5:0.95,0.99978,0.74852,0.83194,0.76238,0.90917,0.96366,0.65222,0.73007,0.67197,0.64505,0.85299,0.68746,0.77967,0.88065,0.91243,0.85686,0.47301,0.36542,0.96857,0.70645
0.7:0.5:0.95:0.2:0.2:0.5,0.99993,0.74772,0.83073,0.76633,0.911,0.95956,0.64889,0.73137,0.67121,0.63878,0.84644,0.68849,0.77233,0.88206,0.91259,0.85895,0.41009,0.4,0.96867,0.67419
0.7:0.7:0.5:0.7:0.35:0.7,0.99985,0.74852,0.83258,0.76367,0.90583,0.96038,0.66889,0.73203,0.6697,0.63795,0.851,0.68861,0.773,0.88117,0.91185,0.8599,0.39743,0.38208,0.96898,0.67634
0.7:0.95:0.35:0.5:0.95:0.2,0.99993,0.74987,0.83513,0.7649,0.9095,0.95984,0.66222,0.73007,0.67576,0.63911,0.84957,0.68831,0.77733,0.88204,0.91306,0.85876,0.39342,0.35292,0.96921,0.69677
0.95:0.2:0.7:0.5:0.35:0.5,0.99993,0.74906,0.83391,0.7641,0.91367,0.96038,0.66778,0.73007,0.66894,0.64158,0.849,0.68922,0.768,0.88065,0.91387,0.8561,0.44626,0.39083,0.9688,0.73333
0.95:0.35:0.95:0.95:0.2:0.2,1,0.74906,0.82934,0.76557,0.9025,0.96148,0.65667,0.73007,0.68788,0.64323,0.84872,0.6873,0.774,0.88355,0.9125,0.85924,0.43351,0.38042,0.96877,0.7
0.95:0.5:0.2:0.2:0.7:0.2,0.99993,0.74812,0.83466,0.76557,0.90817,0.96339,0.64778,0.7232,0.67879,0.63729,0.84843,0.68837,0.77367,0.8819,0.91186,0.85981,0.47303,0.38042,0.96906,0.6871
0.95:0.7:0.35:0.7:0.5:0.35,0.99993,0.74812,0.82865,0.7671,0.90683,0.95984,0.64889,0.72941,0.67803,0.64356,0.84729,0.68851,0.77733,0.88216,0.91305,0.85867,0.496,0.40375,0.96877,0.66882
0.95:0.95:0.5:0.35:0.95:0.95,0.9997,0.74772,0.83119,0.768,0.91067,0.96448,0.65333,0.73072,0.67879,0.63828,0.849,0.68939,0.76933,0.8824,0.91449,0.86257,0.40495,0.375,0.9688,0.66667
0.2:0.95:0.95:0.35:0.5:0.95,0.99963,0.74852,0.83287,0.766,0.90617,0.95929,0.66556,0.72745,0.67273,0.6335,0.84188,0.68867,0.77333,0.88106,0.91363,0.85933,0.42534,0.35917,0.9688,0.72043
0.35:0.95:0.95:0.2:0.35:0.7,0.99993,0.74825,0.8283,0.76376,0.90417,0.9623,0.64667,0.73039,0.67727,0.6396,0.84729,0.68861,0.774,0.88279,0.91197,0.86114,0.36051,0.35667,0.96855,0.72043
