Configuracion,Banknote,Blood,Car,Cardiotocography,Chart,Dermatology,Fertility,Haberman,Hayes,Hill,Ionosphere,Letter,Libras,Optdigits,Pen,QSARBiodegradation,Shuttle,SPECTF,Wilt,Zoo
30.0:30.0:-0.6:0.8:8.0:0.01:0.5:0.95:0.95:0.7:0.7:0.6,0.99978,0.75175,0.83212,0.76143,0.89783,0.9694,0.68,0.71634,0.66288,0.633,0.84729,0.68315,0.75867,0.88019,0.9072,0.85895,0.48855,0.33375,0.96803,0.85914
30.0:45.0:-1.0:0.6:12.0:0.05:0.7:0.95:0.95:0.35:0.2:0.35,0.99978,0.75336,0.84062,0.76733,0.914,0.96967,0.66778,0.71373,0.67045,0.65776,0.84644,0.69379,0.76533,0.8841,0.91735,0.8581,0.55215,0.30583,0.96894,0.85161
30.0:60.0:-0.8:0.2:3.0:0.2:0.95:0.2:0.5:0.2:0.2:0.35,0.99985,0.74852,0.83843,0.76319,0.8975,0.96831,0.68667,0.72059,0.66212,0.64076,0.85271,0.69187,0.75867,0.88216,0.91381,0.85457,0.4823,0.32542,0.96846,0.86022
30.0:75.0:-0.4:1.0:12.0:0.01:0.2:0.2:0.35:0.2:0.95:0.1,0.99985,0.7496,0.84236,0.77024,0.9125,0.96967,0.67556,0.71176,0.65909,0.66254,0.85185,0.69547,0.76333,0.8921,0.91978,0.862,0.46353,0.30333,0.96956,0.86882
30.0:90.0:-0.4:0.4:2.0:0.2:0.35:0.95:0.7:0.5:0.35:0.35,0.9997,0.74987,0.83067,0.76324,0.89417,0.97213,0.68222,0.70621,0.65758,0.64175,0.84558,0.69015,0.76233,0.87774,0.91541,0.85533,0.42488,0.30792,0.96729,0.82043
45.0:30.0:-0.2:0.4:12.0:0.2:0.35:0.35:0.5:0.5:0.2:0.1,0.99978,0.74987,0.83015,0.74848,0.8975,0.96776,0.64556,0.72157,0.66364,0.61419,0.8453,0.67121,0.74533,0.86843,0.899,0.85048,0.48796,0.30125,0.96594,0.86129
45.0:45.0:-0.8:0.8:8.0:0.1:0.2:0.7:0.35:0.5:0.5:0.2,0.99993,0.74758,0.82662,0.75319,0.89617,0.96093,0.67889,0.7183,0.68106,0.61452,0.84929,0.67043,0.755,0.87104,0.89203,0.85248,0.44705,0.32875,0.96644,0.86129
45.0:60.0:-0.6:0.6:5.0:0.4:0.35:0.7:0.5:0.7:0.95:0.2,0.99985,0.75027,0.82384,0.75024,0.8955,0.96393,0.67111,0.70294,0.67727,0.61518,0.84131,0.66941,0.74633,0.87405,0.89516,0.85038,0.49499,0.29042,0.96472,0.86882
45.0:75.0:-1.0:0.8:2.0:0.2:0.95:0.35:0.2:0.95:0.5:0.6,0.99978,0.75134,0.82598,0.75238,0.89633,0.96475,0.67222,0.72386,0.67273,0.60759,0.84986,0.67187,0.75433,0.87028,0.89484,0.85505,0.46636,0.36708,0.96524,0.83763
45.0:90.0:-0.4:0.2:8.0:0.05:0.7:0.5:0.95:0.95:0.95:0.85,0.99926,0.75013,0.82622,0.75114,0.89617,0.95874,0.65444,0.71765,0.68182,0.6132,0.85584,0.67135,0.748,0.86544,0.89603,0.85467,0.48646,0.40125,0.96464,0.84731
60.0:30.0:-0.8:1.0:2.0:0.4:0.35:0.5:0.35:0.35:0.2:0.85,0.99985,0.74879,0.83044,0.75252,0.8985,0.96667,0.69444,0.71634,0.66061,0.62112,0.84786,0.67595,0.74567,0.87577,0.90154,0.85,0.44294,0.33167,0.96694,0.85699
60.0:45.0:-0.6:1.0:3.0:0.05:0.95:0.35:0.7:0.7:0.95:0.85,0.99963,0.75108,0.83814,0.76262,0.91033,0.96721,0.66778,0.71471,0.66515,0.63696,0.84929,0.69531,0.76767,0.89258,0.91532,0.85905,0.45714,0.30625,0.96691,0.84301
60.0:60.0:-0.4:0.8:12.0:0.05:0.2:0.5:0.5:0.95:0.35:0.6,0.99993,0.7504,0.8364,0.76767,0.90317,0.96995,0.67,0.71373,0.66061,0.64125,0.85299,0.69526,0.77133,0.88813,0.9154,0.85533,0.4503,0.32375,0.96797,0.85161
60.0:75.0:-0.2:0.6:8.0:0.2:0.95:0.2:0.35:0.2:0.7:0.35,0.99985,0.74946,0.8441,0.76943,0.91867,0.96749,0.68667,0.71111,0.68712,0.6637,0.85783,0.69871,0.761,0.88705,0.92156,0.85914,0.52838,0.31292,0.96964,0.86452
60.0:90.0:-1.0:0.4:12.0:0.1:0.5:0.7:0.5:0.2:0.2:0.85,0.99978,0.74973,0.83929,0.7689,0.9155,0.96995,0.69111,0.7183,0.67879,0.65561,0.85584,0.69669,0.762,0.88941,0.91749,0.85629,0.48218,0.3175,0.96888,0.86667
75.0:30.0:-1.0:0.2:8.0:0.4:0.2:0.35:0.7:0.2:0.35:0.2,0.99993,0.74153,0.83079,0.75381,0.89833,0.96475,0.68556,0.70163,0.6697,0.60825,0.85071,0.66893,0.75667,0.8778,0.89757,0.85,0.50371,0.33667,0.96551,0.86237
