Configuracion,AutoMpg,AutoPrice,BodyFat,Cpu,Housing,Sensory,Servo,Veteran
30.0:30.0:-0.6:0.8:8.0:0.01:0.5:0.95:0.95:0.7:0.7:0.6,0.22201,0.00025,0.43001,0.04215,0.18989,0.54892,0.47211,0.00383
30.0:45.0:-1.0:0.6:12.0:0.05:0.7:0.95:0.95:0.35:0.2:0.35,0.21937,0.00027,0.41345,0.0423,0.19382,0.55129,0.46178,0.0043
30.0:60.0:-0.8:0.2:3.0:0.2:0.95:0.2:0.5:0.2:0.2:0.35,0.22204,0.00028,0.39539,0.04716,0.18987,0.55452,0.46384,0.00429
30.0:75.0:-0.4:1.0:12.0:0.01:0.2:0.2:0.35:0.2:0.95:0.1,0.21987,0.00027,0.43035,0.03362,0.1895,0.55554,0.46837,0.00414
30.0:90.0:-0.4:0.4:2.0:0.2:0.35:0.95:0.7:0.5:0.35:0.35,0.2202,0.00027,0.42137,0.04176,0.18985,0.55212,0.47007,0.00394
45.0:30.0:-0.2:0.4:12.0:0.2:0.35:0.35:0.5:0.5:0.2:0.1,0.22525,0.00025,0.41896,0.0318,0.18681,0.54714,0.47071,0.00446
45.0:45.0:-0.8:0.8:8.0:0.1:0.2:0.7:0.35:0.5:0.5:0.2,0.22403,0.00027,0.4194,0.04143,0.18679,0.54716,0.46377,0.00484
45.0:60.0:-0.6:0.6:5.0:0.4:0.35:0.7:0.5:0.7:0.95:0.2,0.22528,0.00024,0.39081,0.03175,0.18765,0.54795,0.46246,0.00447
45.0:75.0:-1.0:0.8:2.0:0.2:0.95:0.35:0.2:0.95:0.5:0.6,0.22678,0.00027,0.41048,0.03587,0.18131,0.5444,0.4646,0.00432
45.0:90.0:-0.4:0.2:8.0:0.05:0.7:0.5:0.95:0.95:0.95:0.85,0.22332,0.00028,0.40491,0.04012,0.1828,0.54627,0.46354,0.00436
60.0:30.0:-0.8:1.0:2.0:0.4:0.35:0.5:0.35:0.35:0.2:0.85,0.22433,0.00027,0.39186,0.03071,0.18106,0.54734,0.46261,0.00405
