Configuracion,AutoMpg,AutoPrice,BodyFat,Cpu,Housing,Sensory,Servo,Veteran
0.2:0.2:0.5:0.35:0.7:0.2,0.21725,0.00024,0.40703,0.02565,0.19746,0.55496,0.4647,0.00309
0.2:0.35:0.2:0.5:0.95:0.35,0.21788,0.00023,0.40743,0.02566,0.19809,0.55451,0.4625,0.00313
0.2:0.5:0.35:0.95:0.35:0.7,0.21829,0.00024,0.38433,0.0243,0.19335,0.55298,0.46215,0.00325
0.2:0.7:0.7:0.2:0.95:0.2,0.21535,0.00023,0.39452,0.02897,0.19804,0.55212,0.46402,0.00279
0.2:0.95:0.7:0.7:0.2:0.7,0.21791,0.00024,0.39966,0.03113,0.19549,0.55517,0.46398,0.00298
0.35:0.2:0.95:0.7:0.95:0.7,0.21799,0.00025,0.43813,0.02804,0.19777,0.55343,0.46616,0.00332
0.35:0.35:0.35:0.35:0.7:0.5,0.21731,0.00024,0.41217,0.0253,0.19295,0.55384,0.46495,0.00254
0.35:0.5:0.5:0.5:0.5:0.95,0.21742,0.00024,0.39897,0.02613,0.19806,0.55272,0.46958,0.00325
0.35:0.7:0.2:0.35:0.2:0.7,0.21791,0.00022,0.40925,0.03066,0.19754,0.55341,0.46617,0.00275
0.35:0.95:0.7:0.95:0.7:0.35,0.21785,0.00022,0.41089,0.02799,0.19567,0.55373,0.46227,0.00303
0.5:0.2:0.35:0.2:0.2:0.95,0.21769,0.00023,0.43031,0.03065,0.19508,0.55247,0.46274,0.00291
0.5:0.35:0.5:0.2:0.35:0.35,0.21951,0.00022,0.39834,0.02027,0.19283,0.55546,0.46382,0.00275
0.5:0.5:0.7:0.35:0.95:0.35,0.21689,0.00023,0.40483,0.02926,0.19825,0.55577,0.4602,0.00299
0.5:0.7:0.95:0.5:0.7:0.7,0.21765,0.00025,0.40356,0.03136,0.19739,0.55426,0.46241,0.00325
0.5:0.95:0.2:0.7:0.95:0.5,0.21694,0.00024,0.42679,0.03099,0.19632,0.55453,0.46104,0.00284
0.7:0.2:0.2:0.95:0.7:0.95,0.21844,0.00023,0.41127,0.02486,0.19617,0.55146,0.46043,0.00298
0.7:0.35:0.7:0.7:0.5:0.95,0.21655,0.00022,0.4281,0.03495,0.19995,0.55347,0.46485,0.00301
0.7:0.5:0.95:0.2:0.2:0.5,0.21794,0.00024,0.40436,0.02175,0.19672,0.55319,0.4659,0.00307
0.7:0.7:0.5:0.7:0.35:0.7,0.21694,0.00023,0.39976,0.03018,0.19375,0.55221,0.46176,0.00289
0.7:0.95:0.35:0.5:0.95:0.2,0.2169,0.00024,0.42146,0.02966,0.1954,0.55295,0.46851,0.00285
0.95:0.2:0.7:0.5:0.35:0.5,0.21909,0.00023,0.42722,0.02724,0.19584,0.55471,0.46348,0.00291
0.95:0.35:0.95:0.95:0.2:0.2,0.2177,0.00023,0.43679,0.0258,0.1986,0.55365,0.46334,0.00317
0.95:0.5:0.2:0.2:0.7:0.2,0.21764,0.00022,0.42452,0.03362,0.19605,0.554,0.46877,0.00302
0.95:0.7:0.35:0.7:0.5:0.35,0.21801,0.00023,0.40721,0.02564,0.19835,0.55478,0.46264,0.00317
0.95:0.95:0.5:0.35:0.95:0.95,0.21681,0.00025,0.42203,0.02485,0.19839,0.55525,0.46095,0.00307
0.2:0.95:0.95:0.35:0.5:0.95,0.21732,0.00024,0.4034,0.03217,0.19806,0.55503,0.46912,0.00322
0.35:0.95:0.95:0.2:0.35:0.7,0.21665,0.00024,0.40459,0.03259,0.19811,0.55289,0.45804,0.00275
0.7:0.35:0.2:0.35:0.35:0.2,0.21738,0.00023,0.40416,0.02821,0.19682,0.5524,0.46457,0.00331
0.5:0.7:0.5:0.95:0.5:0.5,0.21708,0.00022,0.41911,0.02249,0.19496,0.55037,0.46756,0.00293
0.35:0.5:0.7:0.7:0.7:0.2,0.21687,0.00024,0.41149,0.02266,0.19697,0.55545,0.46698,0.00272
0.95:0.2:0.2:0.2:0.5:0.7,0.2159,0.00024,0.4128,0.02582,0.19798,0.55295,0.46279,0.00288
0.7:0.2:0.5:0.5:0.2:0.35,0.21775,0.00022,0.42822,0.03178,0.19701,0.55351,0.4623,0.00323
0.5:0.5:0.35:0.95:0.95:0.2,0.21598,0.00023,0.41281,0.02502,0.19473,0.55289,0.46257,0.00294
0.2:0.95:0.7:0.35:0.2:0.5,0.21845,0.00024,0.40211,0.03022,0.19558,0.55459,0.46907,0.00305
0.35:0.35:0.7:0.95:0.5:0.7,0.21807,0.00025,0.41681,0.02707,0.19898,0.55299,0.46889,0.00273
0.2:0.7:0.5:0.7:0.35:0.95,0.21654,0.00024,0.41889,0.02844,0.19606,0.5544,0.46318,0.00274
0.35:0.7:0.95:0.5:0.2:0.35,0.21902,0.00021,0.39544,0.02706,0.19951,0.55234,0.46258,0.003
0.2:0.35:0.95:0.2:0.5:0.2,0.21817,0.00022,0.41098,0.02854,0.19588,0.55251,0.46581,0.00304
