Configuracion,Banknote,Blood,Car,Cardiotocography,Chart,Dermatology,Fertility,Haberman,Hayes,Hill,Ionosphere,Letter,Libras,Optdigits,Pen,QSARBiodegradation,Shuttle,SPECTF,Wilt,Zoo
0.2:0.2:0.5:0.35:0.7:0.2,1,0.75094,0.83733,0.7671,0.90533,0.96913,0.70556,0.70556,0.68485,0.66518,0.85214,0.70543,0.772,0.88655,0.9266,0.86095,0.39201,0.365,0.96908,0.87312
0.2:0.35:0.2:0.5:0.95:0.35,0.99993,0.75188,0.83594,0.7669,0.909,0.96913,0.71,0.70294,0.69091,0.66667,0.86781,0.70687,0.77967,0.88676,0.9259,0.86248,0.4767,0.35125,0.96923,0.87204
0.2:0.5:0.35:0.95:0.35:0.7,1,0.75215,0.84034,0.76914,0.91417,0.96885,0.70778,0.69771,0.6803,0.66436,0.85869,0.70554,0.764,0.88677,0.92941,0.86152,0.46103,0.33292,0.96952,0.87204
0.2:0.7:0.7:0.2:0.95:0.2,0.99978,0.75282,0.83704,0.76738,0.9055,0.97268,0.71222,0.7049,0.69167,0.66865,0.85641,0.70658,0.77233,0.88818,0.92732,0.8601,0.44621,0.34125,0.96966,0.87957
0.2:0.95:0.7:0.7:0.2:0.7,0.99993,0.75363,0.83571,0.76762,0.90133,0.96913,0.71556,0.70392,0.69924,0.65792,0.85869,0.70575,0.77133,0.88893,0.92766,0.85981,0.47933,0.34333,0.9696,0.88387
0.35:0.2:0.95:0.7:0.95:0.7,0.99993,0.75134,0.83999,0.7689,0.90833,0.97268,0.71222,0.69902,0.67424,0.66023,0.85954,0.70529,0.777,0.88759,0.92705,0.85971,0.51143,0.34958,0.96979,0.87419
0.35:0.35:0.35:0.35:0.7:0.5,0.99993,0.75215,0.84207,0.76833,0.91417,0.97158,0.70667,0.70654,0.68788,0.65858,0.85926,0.70564,0.76833,0.88566,0.92764,0.86038,0.46072,0.3275,0.96962,0.87634
0.35:0.5:0.5:0.5:0.5:0.95,1,0.75296,0.83663,0.76681,0.91367,0.97022,0.71444,0.70654,0.68712,0.66337,0.86581,0.70467,0.771,0.88868,0.92655,0.86324,0.40327,0.32708,0.96968,0.87312
0.35:0.7:0.2:0.35:0.2:0.7,0.99993,0.75403,0.83981,0.76776,0.90633,0.97104,0.71111,0.70359,0.68258,0.66551,0.86353,0.70565,0.77767,0.8911,0.93054,0.86076,0.50589,0.32125,0.96935,0.87957
0.35:0.95:0.7:0.95:0.7:0.35,0.99985,0.75269,0.84572,0.768,0.90533,0.96694,0.70444,0.70523,0.68333,0.66271,0.85726,0.7066,0.76167,0.88883,0.92528,0.864,0.55837,0.3325,0.96929,0.88387
0.5:0.2:0.35:0.2:0.2:0.95,0.99993,0.75,0.83501,0.76833,0.9105,0.96995,0.70444,0.70588,0.68561,0.65776,0.85613,0.70746,0.76767,0.88735,0.925,0.86095,0.45575,0.32375,0.96958,0.86882
0.5:0.35:0.5:0.2:0.35:0.35,1,0.75363,0.83808,0.76819,0.9125,0.9735,0.70889,0.70098,0.68864,0.66452,0.85413,0.7064,0.76933,0.886,0.92682,0.86295,0.40769,0.30833,0.96966,0.87957
0.5:0.5:0.7:0.35:0.95:0.35,0.99993,0.75,0.83576,0.76686,0.90283,0.97022,0.70333,0.70425,0.68106,0.66436,0.85527,0.7049,0.76267,0.88868,0.92592,0.86019,0.39756,0.37208,0.96968,0.87419
0.5:0.7:0.95:0.5:0.7:0.7,1,0.75282,0.84144,0.76952,0.90983,0.96503,0.71,0.70784,0.68333,0.65875,0.86068,0.7051,0.77167,0.88711,0.92804,0.86038,0.50815,0.3275,0.9695,0.89032
0.5:0.95:0.2:0.7:0.95:0.5,0.99993,0.75081,0.8434,0.76952,0.91133,0.97131,0.7,0.70523,0.68106,0.66502,0.86068,0.7066,0.76767,0.88698,0.92687,0.86057,0.43218,0.35042,0.96952,0.87957
0.7:0.2:0.2:0.95:0.7:0.95,0.99993,0.75067,0.84161,0.76681,0.91533,0.96967,0.71111,0.70229,0.68333,0.66106,0.85698,0.70599,0.766,0.88551,0.92528,0.85981,0.52333,0.31667,0.96923,0.8871
0.7:0.35:0.7:0.7:0.5:0.95,1,0.75121,0.84167,0.76662,0.91383,0.97186,0.7,0.70359,0.67121,0.65941,0.86268,0.70631,0.76867,0.88564,0.9271,0.86067,0.46519,0.36292,0.96979,0.88065
0.7:0.5:0.95:0.2:0.2:0.5,0.99993,0.7496,0.83588,0.76771,0.90667,0.97104,0.70444,0.70294,0.68333,0.65677,0.85584,0.70543,0.75733,0.88971,0.92803,0.85981,0.37422,0.3375,0.96946,0.88065
0.7:0.7:0.5:0.7:0.35:0.7,0.99993,0.75282,0.84196,0.76752,0.907,0.96858,0.70333,0.70327,0.68636,0.66023,0.85954,0.70575,0.76633,0.88963,0.92757,0.86295,0.52094,0.33917,0.96956,0.88387
0.7:0.95:0.35:0.5:0.95:0.2,0.99993,0.75081,0.83935,0.76805,0.91383,0.9724,0.70889,0.70523,0.67955,0.66155,0.86068,0.70572,0.76933,0.88596,0.9285,0.86086,0.40302,0.32708,0.96929,0.88817
0.95:0.2:0.7:0.5:0.35:0.5,0.99985,0.75148,0.84068,0.76643,0.90483,0.96913,0.70556,0.7085,0.68636,0.65974,0.8567,0.7064,0.77733,0.8906,0.92626,0.86105,0.48005,0.31917,0.96946,0.87527
0.95:0.35:0.95:0.95:0.2:0.2,1,0.75067,0.84456,0.76995,0.9085,0.97186,0.70778,0.70229,0.69167,0.65924,0.8604,0.70451,0.759,0.88496,0.92702,0.86133,0.52387,0.30917,0.96956,0.88387
0.95:0.5:0.2:0.2:0.7:0.2,0.99993,0.75228,0.84045,0.768,0.9075,0.97322,0.71333,0.70392,0.67576,0.66221,0.86239,0.70625,0.77333,0.88568,0.92862,0.86057,0.49575,0.34458,0.96935,0.88172
0.95:0.7:0.35:0.7:0.5:0.35,1,0.75215,0.8441,0.7661,0.90867,0.97186,0.70778,0.70065,0.66894,0.65776,0.85869,0.70607,0.77367,0.88635,0.92751,0.86429,0.42744,0.3425,0.9696,0.88387
0.95:0.95:0.5:0.35:0.95:0.95,1,0.7504,0.84149,0.76586,0.90917,0.9735,0.70778,0.70654,0.67348,0.65908,0.85926,0.70651,0.76367,0.88705,0.92707,0.86381,0.45785,0.31583,0.96975,0.87634
0.2:0.95:0.95:0.35:0.5:0.95,0.99993,0.75121,0.83206,0.76895,0.9105,0.97131,0.71556,0.70817,0.68485,0.66518,0.86068,0.70579,0.77333,0.89008,0.92669,0.8601,0.3818,0.33375,0.96987,0.87634
0.35:0.95:0.95:0.2:0.35:0.7,0.99993,0.75161,0.84236,0.76652,0.90883,0.97049,0.69889,0.70588,0.68409,0.66419,0.8547,0.70631,0.76467,0.88898,0.92891,0.86076,0.50928,0.33292,0.96979,0.88065
0.7:0.35:0.2:0.35:0.35:0.2,1,0.75188,0.83385,0.76624,0.909,0.9724,0.71,0.70588,0.6803,0.66502,0.86239,0.70645,0.76533,0.88779,0.9274,0.86267,0.40275,0.355,0.96933,0.87634
