Configuracion,AutoMpg,AutoPrice,BodyFat,Cpu,Housing,Sensory,Servo,Veteran
0.2:0.2:0.5:0.35:0.7:0.2,0.22196,0.00027,0.4273,0.0353,0.18757,0.55277,0.46668,0.00386
0.2:0.35:0.2:0.5:0.95:0.35,0.22048,0.00026,0.42178,0.03794,0.18735,0.5525,0.46578,0.00377
0.2:0.5:0.35:0.95:0.35:0.7,0.2211,0.00026,0.43153,0.03261,0.18503,0.55071,0.463,0.00398
0.2:0.7:0.7:0.2:0.95:0.2,0.22154,0.00025,0.42576,0.04022,0.18784,0.551,0.46376,0.00396
0.2:0.95:0.7:0.7:0.2:0.7,0.21979,0.00026,0.42678,0.03337,0.18965,0.55047,0.4638,0.00375
0.35:0.2:0.95:0.7:0.95:0.7,0.22207,0.00026,0.42357,0.04292,0.19102,0.55059,0.46185,0.0038
0.35:0.35:0.35:0.35:0.7:0.5,0.22068,0.00026,0.43135,0.0405,0.19055,0.55202,0.46488,0.00365
0.35:0.5:0.5:0.5:0.5:0.95,0.2202,0.00027,0.42681,0.03524,0.18967,0.55123,0.46503,0.00386
0.35:0.7:0.2:0.35:0.2:0.7,0.22132,0.00028,0.42304,0.03649,0.18714,0.55149,0.4638,0.00401
0.35:0.95:0.7:0.95:0.7:0.35,0.22155,0.00027,0.42377,0.03592,0.18784,0.55319,0.46611,0.00395
0.5:0.2:0.35:0.2:0.2:0.95,0.22116,0.00027,0.43599,0.03774,0.18986,0.55235,0.46615,0.00386
0.5:0.35:0.5:0.2:0.35:0.35,0.22255,0.00025,0.42244,0.04061,0.18853,0.55181,0.46696,0.00393
0.5:0.5:0.7:0.35:0.95:0.35,0.22149,0.00026,0.42035,0.03867,0.19056,0.55218,0.4658,0.00406
0.5:0.7:0.95:0.5:0.7:0.7,0.22157,0.00026,0.422,0.04053,0.18669,0.5517,0.46757,0.00378
0.5:0.95:0.2:0.7:0.95:0.5,0.22242,0.00027,0.42815,0.04159,0.19038,0.55389,0.46441,0.0037
0.7:0.2:0.2:0.95:0.7:0.95,0.22218,0.00026,0.41858,0.03697,0.18755,0.55105,0.46326,0.00353
0.7:0.35:0.7:0.7:0.5:0.95,0.22098,0.00026,0.4185,0.04309,0.19143,0.55192,0.46594,0.00372
0.7:0.5:0.95:0.2:0.2:0.5,0.22243,0.00027,0.4329,0.0321,0.18903,0.55082,0.46859,0.00385
0.7:0.7:0.5:0.7:0.35:0.7,0.22181,0.00027,0.42962,0.04093,0.18859,0.55242,0.46203,0.0037
0.7:0.95:0.35:0.5:0.95:0.2,0.22127,0.00027,0.42928,0.04866,0.18965,0.55315,0.4639,0.00384
0.95:0.2:0.7:0.5:0.35:0.5,0.22129,0.00028,0.42881,0.04234,0.1889,0.55064,0.46642,0.0038
0.95:0.35:0.95:0.95:0.2:0.2,0.22255,0.00027,0.42526,0.04476,0.19131,0.55199,0.46481,0.00384
0.95:0.5:0.2:0.2:0.7:0.2,0.22073,0.00026,0.42458,0.03994,0.1909,0.55124,0.46263,0.00394
0.95:0.7:0.35:0.7:0.5:0.35,0.2212,0.00026,0.42028,0.03877,0.19114,0.55193,0.46537,0.00378
0.95:0.95:0.5:0.35:0.95:0.95,0.22156,0.00026,0.42291,0.04066,0.19058,0.55066,0.4616,0.00362
0.2:0.95:0.95:0.35:0.5:0.95,0.22084,0.00026,0.42617,0.03673,0.18894,0.55166,0.46509,0.00381
0.35:0.95:0.95:0.2:0.35:0.7,0.22145,0.00027,0.42175,0.04323,0.18798,0.55365,0.46528,0.00373
0.7:0.35:0.2:0.35:0.35:0.2,0.2208,0.00026,0.41965,0.04474,0.18918,0.55224,0.46782,0.00395
0.5:0.7:0.5:0.95:0.5:0.5,0.22136,0.00028,0.43134,0.04175,0.18844,0.55232,0.46618,0.00363
0.35:0.5:0.7:0.7:0.7:0.2,0.22162,0.00027,0.43313,0.03359,0.18834,0.55218,0.46565,0.00392
0.95:0.2:0.2:0.2:0.5:0.7,0.22157,0.00028,0.42773,0.03643,0.18935,0.55155,0.46447,0.00397
0.7:0.2:0.5:0.5:0.2:0.35,0.22096,0.00025,0.41838,0.03896,0.1886,0.55171,0.46294,0.00382
0.5:0.5:0.35:0.95:0.95:0.2,0.22254,0.00027,0.42469,0.0388,0.18911,0.55203,0.4648,0.00369
0.2:0.95:0.7:0.35:0.2:0.5,0.22137,0.0003,0.42345,0.03816,0.19164,0.55194,0.46211,0.00387
0.35:0.35:0.7:0.95:0.5:0.7,0.22168,0.00027,0.4276,0.03606,0.18566,0.55164,0.46718,0.0038
0.2:0.7:0.5:0.7:0.35:0.95,0.22141,0.00027,0.44445,0.03444,0.19072,0.55197,0.46101,0.00393
0.35:0.7:0.95:0.5:0.2:0.35,0.22172,0.00027,0.43262,0.0425,0.18956,0.5526,0.46557,0.00397
0.2:0.35:0.95:0.2:0.5:0.2,0.22036,0.00028,0.41619,0.04146,0.18913,0.55318,0.46281,0.00385
