Configuracion,0-1-0-2,0-2-1-4,0-3-3-0,0-4-3-3,1-0-4-3,1-1-1-1,1-2-2-2,1-3-0-1,1-4-3-4,2-0-1-0,2-1-2-0,2-2-3-1,2-3-4-2,2-4-0-3,3-0-0-4,3-1-3-3,3-2-4-0,3-3-2-3,3-4-1-2,4-0-3-2,4-1-4-4,4-2-0-0,4-3-1-3,4-4-2-1,0-4-4-1,1-4-3-0,3-4-2-1,2-3-2-4,0-2-1-3
Iris,0.9200000000000003,0.9333333333333337,0.9180000000000004,0.9066666666666668,0.9160000000000001,0.9186666666666669,0.9200000000000002,0.918666666666667,0.9166666666666669,0.918,0.9133333333333337,0.9220000000000003,0.9226666666666667,0.9146666666666666,0.9173333333333333,0.9226666666666669,0.9253333333333337,0.9173333333333333,0.9166666666666664,0.9213333333333334,0.9166666666666669,0.9246666666666671,0.9260000000000003,0.9173333333333336,0.9186666666666666,0.9086666666666667,0.9260000000000002,0.9246666666666669,0.9133333333333333
Knowledge,0.8333333333333335,0.8217054263565892,0.8317829457364342,0.8321705426356589,0.8271317829457365,0.8352713178294576,0.8298449612403099,0.8236434108527132,0.8279069767441862,0.8298449612403102,0.8348837209302326,0.8333333333333336,0.8329457364341087,0.8275193798449614,0.8341085271317831,0.82984496124031,0.8286821705426356,0.8224806201550388,0.8332122093023256,0.8294573643410851,0.8333333333333333,0.8333333333333334,0.8286821705426358,0.8294573643410852,0.8317829457364341,0.8306201550387599,0.8294573643410851,0.8310077519379846,0.8310077519379845
Seeds,0.9819047619047617,0.984761904761905,0.9852380952380955,0.9866666666666669,0.9842857142857144,0.9833333333333337,0.9857142857142858,0.9828571428571427,0.9838095238095238,0.9866666666666669,0.9847619047619051,0.9847619047619048,0.9828571428571429,0.9819047619047622,0.9833333333333336,0.9833333333333331,0.983809523809524,0.9828571428571427,0.9823809523809525,0.9833333333333337,0.9828571428571432,0.9842857142857144,0.9833333333333336,0.9814285714285714,0.9861904761904763,0.983809523809524,0.9857142857142859,0.9800000000000002,0.9823809523809525
Servo,0.46080347601293936,0.4672838581358026,0.46376088550110917,0.46079308751630765,0.4680227778767106,0.4576204321570039,0.46882820740220504,0.465672034564742,0.4642025119172178,0.46627335466262754,0.4595925567903418,0.4600587218334197,0.4622063320974813,0.4658401866461662,0.46238470303946055,0.460274727702184,0.46295870501313646,0.46190722904421216,0.45506033080431973,0.45760447175358904,0.46293469870093407,0.45171390442999454,0.46708120025180005,0.4628279416318446,0.46421571546063495,0.459725718839781,0.4552746149285565,0.4596882266555751,0.46205934714134567
Vertebral2C,0.8580000000000001,0.8583333333333333,0.8619999999999998,0.8593333333333334,0.8593333333333334,0.8553333333333334,0.8596666666666668,0.8613333333333333,0.8583333333333333,0.8580000000000001,0.8606666666666667,0.8573333333333332,0.8603333333333335,0.8603333333333334,0.859,0.8576666666666665,0.8556666666666666,0.8630000000000001,0.8630000000000001,0.8586666666666667,0.858,0.8620000000000001,0.8563333333333333,0.8636666666666666,0.857,0.8600000000000001,0.8596666666666668,0.8609999999999999,0.863
Vertebral3C,0.8193333333333332,0.817,0.8196666666666665,0.8186666666666665,0.8163333333333331,0.8176666666666665,0.8143333333333331,0.8149999999999998,0.8186666666666667,0.8173333333333332,0.8159999999999997,0.8186666666666665,0.8183333333333332,0.8186666666666665,0.8170000000000001,0.8183333333333331,0.8163333333333331,0.8153333333333332,0.8183333333333332,0.8183333333333332,0.8189999999999998,0.8206666666666664,0.818,0.821,0.8183333333333331,0.8133333333333332,0.8153333333333332,0.818,0.8156666666666667
Wdbc,0.9592982456140352,0.9636842105263158,0.9619298245614039,0.9598245614035089,0.9607017543859652,0.9610526315789475,0.9617543859649123,0.9607017543859651,0.96140350877193,0.9628070175438597,0.9601754385964915,0.9610526315789476,0.9594736842105264,0.9640350877192986,0.9591228070175439,0.9610526315789475,0.9619298245614036,0.9633333333333336,0.9614035087719299,0.9619298245614037,0.9622807017543862,0.9638596491228072,0.9600000000000003,0.9608771929824563,0.9612280701754388,0.9624561403508773,0.9628070175438598,0.9621052631578948,0.9629824561403509
Wine,0.9761111111111108,0.974444444444444,0.9777777777777775,0.9794444444444445,0.9772222222222222,0.9788888888888887,0.9766666666666662,0.9722222222222218,0.9777777777777777,0.9749999999999996,0.9755555555555554,0.9761111111111109,0.9761111111111108,0.9744444444444443,0.9755555555555554,0.9755555555555553,0.973333333333333,0.9772222222222221,0.9716666666666662,0.9744444444444442,0.9699999999999996,0.9727777777777774,0.9766666666666666,0.9738888888888886,0.9761111111111109,0.974444444444444,0.9772222222222221,0.9744444444444442,0.978333333333333
WineRed,0.5921826141338337,0.5905565978736708,0.5913070669168228,0.589993746091307,0.5921826141338334,0.5905565978736711,0.5891181988742965,0.5908692933083176,0.5909943714821764,0.5901188242651657,0.5918073796122575,0.5926203877423389,0.5908692933083176,0.590556597873671,0.5914321450906816,0.5904940587867418,0.5920575359599749,0.5909943714821765,0.5921200750469043,0.5908692933083176,0.5917448405253282,0.5897435897435899,0.5921826141338334,0.5919949968730456,0.5923076923076922,0.5900562851782365,0.589618511569731,0.5885553470919324,0.5918073796122575
Zoo,0.8763440860215052,0.8655913978494622,0.8698924731182794,0.879569892473118,0.8709677419354835,0.8752688172043008,0.8838709677419352,0.8645161290322579,0.8677419354838709,0.8720430107526879,0.8720430107526879,0.8612903225806451,0.8655913978494622,0.8666666666666666,0.8677419354838707,0.8655913978494623,0.872043010752688,0.8784946236559137,0.8655913978494623,0.8784946236559139,0.8763440860215054,0.868817204301075,0.8731182795698923,0.8731182795698923,0.8752688172043009,0.8709677419354837,0.882795698924731,0.8795698924731181,0.8666666666666666
